game_number,120,150,180,210,240,300,label_code,label,predicted_limit,predicted_direction,correct
14,0.0608531746031746,0.17913745976245976,0.3534071484071484,0.27660131535131527,0.09754058441558441,0.03246031746031746,4,210,210,Under,True
15,0.12272693972693974,0.21598137973137974,0.22971402208902206,0.32741423853923857,0.10208008658008656,0.0020833333333333333,1,120,210,Under,True
16,0.10535714285714286,0.16915043290043288,0.32085317460317453,0.29707611832611824,0.09228535353535354,0.015277777777777779,3,180,210,Under,True
17,0.04069444444444444,0.060799894549894554,0.2721350177600177,0.561597915972916,0.057272727272727274,0.0075,4,210,210,Under,True
18,0.02235299422799423,0.16861922799422802,0.3100243506493505,0.39941874098124097,0.06813041125541126,0.031454274891774894,4,210,210,Under,True
19,0.04199404761904762,0.20373425185925184,0.361494338994339,0.33848630536130536,0.04417200854700855,0.010119047619047618,2,150,210,Under,True
20,0.06123015873015873,0.19470550283050284,0.19436924186924187,0.34132215007215005,0.18258234820734814,0.025790598290598293,5,240,210,Under,False
21,0.3206417193917193,0.32367070429570427,0.18304945054945054,0.11843635531135532,0.05420177045177046,0.0,2,150,180,Under,True
22,0.07048791486291486,0.1205612443112443,0.33879030691530687,0.3482150488400487,0.11777881840381839,0.004166666666666667,4,210,210,Under,True
23,0.18417568542568544,0.24347041847041848,0.2585209235209235,0.2432747113997114,0.06828553391053391,0.0022727272727272726,1,120,180,Under,True
24,0.15362040737040739,0.14249937562437562,0.2323134504384504,0.4199100205350206,0.01611111111111111,0.035545634920634915,3,180,210,Under,True
25,0.20904040404040405,0.1307377344877345,0.3656510850260849,0.254097360972361,0.02361735486735487,0.016856060606060604,2,150,180,Under,True
26,0.3798441999177294,0.37015471456647925,0.13931781045751632,0.06974893162393161,0.040934343434343434,0.0,1,120,150,Under,True
27,0.09299062049062048,0.200021645021645,0.3566387085137085,0.30950306637806635,0.040845959595959595,0.0,2,150,210,Under,True
28,0.09733315295815295,0.20428508991008992,0.34042998667998675,0.3046794871794871,0.05327228327228327,0.0,4,210,210,Under,True
29,0.05634920634920635,0.1504372016872017,0.5066167166167166,0.24101065601065602,0.04058621933621933,0.005,3,180,180,Under,True
30,0.06340659340659341,0.3785292485292485,0.26917894605394604,0.2153336247086247,0.0678968253968254,0.005654761904761904,3,180,180,Under,True
31,0.12405303030303028,0.1478174603174603,0.36166847041847044,0.24657738095238088,0.11988365800865801,0.0,3,180,210,Under,True
32,0.09898809523809524,0.2169571747696748,0.4318324037074038,0.16489718614718613,0.08732514013764012,0.0,1,120,180,Under,True
33,0.056628787878787876,0.3043657486304545,0.23959558823529412,0.26313621835680656,0.1284210927960928,0.007852564102564102,1,120,210,Under,True
34,0.06926713564213564,0.1805433455433455,0.3321491563991563,0.2433031413031413,0.1580489094239094,0.01668831168831169,4,210,210,Under,True
35,0.056666666666666664,0.24959099927849926,0.37877209595959604,0.27712301587301585,0.03784722222222222,0.0,3,180,180,Under,True
36,0.07727453102453101,0.3161143717393718,0.36789633977133973,0.19179799367299363,0.0469167637917638,0.0,3,180,180,Under,True
37,0.0125,0.33022963147963147,0.3360931429681429,0.2321960678210678,0.07201687201687201,0.016964285714285716,4,210,180,Under,False
38,0.04018867570338158,0.22444042069042064,0.2282911206440618,0.36002228572081507,0.12809916390798745,0.018958333333333334,3,180,210,Under,True
39,0.057053571428571426,0.19573045010545012,0.1642030885780886,0.43833284770784775,0.1254034854034854,0.019276556776556777,3,180,210,Under,True
40,0.05498196248196248,0.15535436785436785,0.5086115273615273,0.20309704184704183,0.06962176712176713,0.008333333333333333,4,210,180,Under,False
41,0.010416666666666666,0.1123433510933511,0.2560650460650461,0.4276212676212676,0.16028138528138525,0.03327228327228328,5,240,180,Over,True
42,0.08426221804511279,0.27416538505354293,0.15152507215007213,0.2951657552973342,0.15766665717323616,0.03721491228070175,3,180,210,Under,True
43,0.1003327922077922,0.2447554528804529,0.3751499195249195,0.24913683538683534,0.022291666666666664,0.008333333333333333,4,210,180,Under,False
44,0.04541666666666667,0.13762896825396825,0.2730357142857143,0.3098511904761905,0.22281746031746028,0.01125,5,240,180,Over,True
45,0.07863275613275614,0.16429383116883114,0.29576118326118317,0.37176316738816734,0.07531295093795094,0.01423611111111111,4,210,210,Under,True
46,0.03822420634920635,0.36142586580086583,0.31344005531505525,0.1439911014911015,0.13244739057239058,0.010471380471380472,3,180,180,Under,True
47,0.10505217005217005,0.21709145021645018,0.26854340104340096,0.3100516844266844,0.08092796092796092,0.018333333333333333,4,210,210,Under,True
48,0.01718253968253968,0.07012896825396825,0.25892586580086574,0.5365061327561328,0.0941017316017316,0.0231547619047619,4,210,180,Over,True
49,0.24414287101787102,0.24121780996781,0.21870920745920747,0.21966748529248528,0.0707070707070707,0.005555555555555555,3,180,180,Under,True
50,0.05796474358974359,0.2402873882653295,0.28858225108225105,0.34236788130170487,0.053665382819794584,0.01713235294117647,2,150,210,Under,True
51,0.06230425824175825,0.20931051587301588,0.4197908688533687,0.21752126345876346,0.07365551115551114,0.01741758241758242,3,180,180,Under,True
52,0.012583333333333332,0.16200043012543014,0.4149976273726274,0.1763328199578199,0.2340857892107892,0.0,4,210,180,Over,True
53,0.030117521367521372,0.11814664502164503,0.3252710483960484,0.4646547202797202,0.06181006493506495,0.0,3,180,210,Under,True
54,0.06361471861471861,0.1466657647907648,0.5325505050505049,0.1987040043290043,0.044179292929292936,0.014285714285714285,2,150,180,Under,True
55,0.0917591885238944,0.24532329598506072,0.2868147334691452,0.3212988604532722,0.04431781045751635,0.01048611111111111,2,150,210,Under,True
56,0.03428030303030303,0.22663489288489286,0.29526327838827837,0.33784569597069597,0.08427940115440116,0.02169642857142857,2,150,210,Under,True
57,0.01875,0.11744498556998555,0.5115106421356421,0.24889880952380952,0.10027056277056279,0.003125,4,210,210,Under,True
58,0.033728632478632475,0.08376678876678877,0.4510462454212455,0.32067460317460317,0.08884920634920634,0.02193452380952381,4,210,210,Under,True
59,0.04500270562770563,0.2337782356532357,0.2874792568542568,0.3131897269397269,0.09284444721944722,0.027705627705627706,3,180,210,Under,True
60,0.041249999999999995,0.08443452380952379,0.3679193722943722,0.4305627705627705,0.06323412698412699,0.01259920634920635,4,210,210,Under,True
61,0.08055768169738757,0.243588919250684,0.3999742128786246,0.1717781728075846,0.08872402923873511,0.015376984126984128,3,180,180,Under,True
62,0.08418831168831167,0.19273448773448773,0.37443695193695187,0.3237665112665112,0.024873737373737374,0.0,4,210,180,Under,False
